U_ID,NEG_ID,REQ_ID,Price,Bid Time,Reject_Reason,Surrogate_id,Surrogate_comments,REQ_ID,ITEM_ID,PRODUCT_NAME,PRICE,REVISED_PRICE,UNIT_PRICE,REV_UNIT_PRICE,BID_TIME,TYPE
12821,16958,50471,null,null,1150.0,11.5,11.5,77128,7495,20300.0,null,null,null,null,null,null
12821,17208,51248,null,null,5600.0,560.0,560.0,78769,7742,26550.0,null,null,0.0,null,null,null
12821,17612,52310,null,null,0.0,0.0,0.0,79189,7742,26550.0,null,null,null,null,null,null
12821,17612,52309,null,null,3500.0,140.0,140.0,103767,11543,40500.0,null,null,12801.0,null,null,null
12821,17679,52494,null,null,11600.0,580.0,580.0,103769,11543,40500.0,null,null,null,null,null,null
12821,17676,52491,null,null,0.0,0.0,0.0,105593,11782,9375.0,null,null,0.0,null,null,null
12821,17676,52490,null,null,8100.0,100.0,100.0,106133,11782,9375.0,null,null,null,null,null,null
12821,17679,52494,null,null,11600.0,580.0,580.0,106137,11782,9360.0,null,null,null,null,null,null
12821,17679,52494,null,null,11600.0,580.0,580.0,108860,12278,14620.0,null,null,12801.0,null,null,null
12821,17679,52494,null,null,11000.0,550.0,550.0,108862,12278,14620.0,null,null,null,null,null,null
12821,17761,52692,null,null,55000.0,550.0,550.0,111959,12756,20000.0,null,null,0.0,null,null,null
12821,17957,53087,null,null,3451.5,0.585,0.585,111960,12756,20000.0,null,null,0.0,null,null,null
12821,17957,53087,null,null,3451.5,0.585,0.585,112127,12756,20000.0,null,null,null,null,null,null
12821,17957,53087,null,null,3451.5,0.585,0.585,112152,12756,19500.0,null,null,null,null,null,null
12821,17957,53087,null,null,3451.5,0.585,0.585,112428,12814,1800.0,null,null,17125.0,null,null,null
12821,18202,53829,null,null,5900.0,1000.0,1000.0,112430,12814,1800.0,null,null,null,null,null,null
12824,18848,55562,null,null,0.0,0.0,0.0,78843,7741,185850.0,null,null,12791.0,null,null,null
12824,18848,55561,null,null,169920.0,12000.0,12000.0,78896,7741,185850.0,null,null,null,null,null,null
12824,22045,64443,null,null,123900.0,10500.0,10500.0,103625,11528,77880.0,null,null,17028.0,null,null,null
12824,15124,44900,null,null,6.372E8,90000.0,90000.0,103626,11528,77880.0,null,null,null,null,null,null
12824,15178,45077,null,null,0.0,0.0,0.0,127932,15124,6.372E8,null,null,0.0,null,null,null
12824,15178,45076,null,null,35400.0,15000.0,15000.0,128193,15178,35400.0,null,null,0.0,null,null,null
12824,15189,45147,null,null,191750.0,12500.0,12500.0,128243,15178,35400.0,null,null,null,null,null,null
12824,15189,45147,null,null,191750.0,12500.0,12000.0,128321,15189,191750.0,null,null,13351.0,null,null,null
12824,25138,72166,null,null,53100.0,30000.0,30000.0,128322,15189,191750.0,null,null,null,null,null,null
12824,15237,45254,null,null,106200.0,90000.0,90000.0,128412,15189,184080.0,null,null,null,null,null,null
12824,15237,45253,null,null,0.0,0.0,0.0,128599,15237,106200.0,null,null,0.0,null,null,null
12824,15299,45596,null,null,637200.0,90000.0,90000.0,128859,15237,106200.0,null,null,null,null,null,null
12824,15299,45595,null,null,0.0,0.0,0.0,129198,15299,637200.0,null,null,12801.0,null,null,null
12824,25114,72095,null,null,224200.0,9500.0,9500.0,129218,15299,637200.0,null,null,0.0,null,null,null
12824,15365,45714,null,null,53100.0,15000.0,15000.0,129314,15299,637200.0,null,null,null,null,null,null
12824,25846,73999,null,null,26550.0,30000.0,30000.0,129625,15365,53100.0,null,null,0.0,null,null,null
12824,26005,74323,null,null,35400.0,120000.0,120000.0,130109,15365,53100.0,null,null,null,null,null,null
12824,26192,74769,null,null,0.0,0.0,0.0,133302,15889,206500.0,null,null,0.0,null,null,null
12824,26192,74768,null,null,2950000.0,25000.0,25000.0,133491,15889,206500.0,null,null,null,null,null,null
12824,26206,74789,null,null,29500.0,50000.0,50000.0,139597,16685,425000.0,null,null,12801.0,null,null,null
12824,26206,74788,null,null,17700.0,15000.0,15000.0,139598,16685,501500.0,null,null,12801.0,null,null,null
12824,26192,74768,null,null,2950000.0,25000.0,21000.0,139602,16685,501500.0,null,null,null,null,null,null
12824,15889,47416,null,null,206500.0,12500.0,12500.0,139604,16685,501500.0,null,null,null,null,null,null
12824,16685,49604,null,null,425000.0,85000.0,85000.0,139605,16685,501500.0,null,null,null,null,null,null
12827,18514,54793,null,null,90624.0,800.0,760.0,59742,4862,58500.0,null,null,0.0,null,null,null
12827,18514,54784,null,null,96288.0,1275.0,1211.25,59743,4862,69030.0,null,null,0.0,null,null,null
12827,18514,54783,null,null,84960.0,1125.0,1068.75,59767,4862,69030.0,null,null,null,null,null,null
12827,18514,54783,null,null,84960.0,1125.0,1035.0,60049,4899,1067305.28,null,null,0.0,null,null,null
12827,18514,54793,null,null,90624.0,800.0,736.0,60050,4899,1067305.28,null,null,0.0,null,null,null
12827,18514,54784,null,null,96288.0,1275.0,1173.0,60052,4899,1067305.28,null,null,0.0,null,null,null
12827,18514,54783,null,null,84960.0,1125.0,1012.5,60053,4857,0.0,null,null,0.0,null,null,null
12827,18565,54908,null,null,7330.16,62120.0,62120.0,60058,4899,1067305.28,null,null,0.0,null,null,null
12827,18555,54875,null,null,33630.0,950.0,950.0,60066,4899,1067305.28,null,null,null,null,null,null
12827,18555,54874,null,null,24780.0,700.0,700.0,60559,4863,2203.2,null,null,0.0,null,null,null
12827,18555,54873,null,null,28320.0,800.0,800.0,60562,4863,2599.776,null,null,0.0,null,null,null
12827,18555,54872,null,null,39825.0,1125.0,1125.0,60595,4863,2599.776,null,null,null,null,null,null
12827,18514,54793,null,null,90624.0,800.0,800.0,60745,5031,9530.86,null,null,0.0,null,null,null
12827,18514,54784,null,null,96288.0,1275.0,1275.0,60763,4977,276984.185,null,null,0.0,null,null,null
12827,18514,54783,null,null,84960.0,1125.0,1125.0,60811,5031,9530.86,null,null,null,null,null,null
12827,18514,54784,null,null,96288.0,1275.0,1147.5,60817,4977,276984.185,null,null,null,null,null,null
12827,18575,54953,null,null,0.0,0.0,0.0,60818,4977,276984.185,null,null,null,null,null,null
12827,18575,54952,null,null,40710.0,230.0,230.0,60833,5031,9530.86,null,null,0.0,null,null,null
12827,18555,54874,null,null,24780.0,700.0,665.0,60859,5031,9530.86,null,null,0.0,null,null,null
12827,18555,54873,null,null,28320.0,800.0,760.0,60966,5031,9530.86,null,null,0.0,null,null,null
12827,18555,54872,null,null,39825.0,1125.0,1068.75,60968,5031,9530.86,null,null,0.0,null,null,null
12827,18555,54874,null,null,24780.0,700.0,644.0,61021,5063,132155.28,null,null,0.0,null,null,null
12827,18555,54873,null,null,28320.0,800.0,744.0,61023,5063,132155.28,null,null,null,null,null,null
12827,18555,54872,null,null,39825.0,1125.0,1012.5,61072,5079,23080.8,null,null,0.0,null,null,null
12827,18555,54875,null,null,33630.0,950.0,855.0,61189,5079,23080.8,null,null,null,null,null,null
12827,18555,54875,null,null,33630.0,950.0,836.0,61193,5078,74724.344,null,null,0.0,null,null,null
12827,18555,54874,null,null,24780.0,700.0,630.0,61448,5078,74724.344,null,null,null,null,null,null
12827,18555,54872,null,null,39825.0,1125.0,990.0,61960,5236,23364.0,null,null,0.0,null,null,null
12827,18555,54875,null,null,33630.0,950.0,807.5,61961,5236,23364.0,null,null,0.0,null,null,null
12827,18555,54874,null,null,24780.0,700.0,595.0,62089,5236,23364.0,null,null,null,null,null,null
12827,18555,54872,null,null,39825.0,1125.0,956.25,62721,5345,514480.0,null,null,0.0,null,null,null
12827,18555,54875,null,null,33630.0,950.0,760.0,62722,5345,514480.0,null,null,0.0,null,null,null
12827,18555,54874,null,null,24780.0,700.0,560.0,62796,5345,514480.0,null,null,null,null,null,null
12827,18555,54872,null,null,39825.0,1125.0,900.0,63510,5437,125375.0,null,null,0.0,null,null,null
12827,18555,54875,null,null,33630.0,950.0,741.0,63511,5456,39619.68,null,null,0.0,null,null,null
12827,18555,54874,null,null,24780.0,700.0,546.0,63512,5456,39619.68,null,null,0.0,null,null,null
12827,21475,63028,null,null,0.0,0.0,0.0,63514,5434,46388.16,null,null,0.0,null,null,null
12827,21475,63027,null,null,0.0,0.0,0.0,63541,5434,46388.16,null,null,null,null,null,null
12827,19464,57114,null,null,147972.0,3800.0,3154.0,63645,5456,39619.68,null,null,null,null,null,null
12827,18555,54875,null,null,33630.0,950.0,750.5,63657,5437,125375.0,null,null,null,null,null,null
12827,18555,54874,null,null,24780.0,700.0,553.0,64225,5538,135913.344,null,null,0.0,null,null,null
12827,18555,54873,null,null,28320.0,800.0,720.0,64238,5538,113280.0,null,null,0.0,null,null,null
12827,18555,54872,null,null,39825.0,1125.0,888.75,64243,5538,113280.0,null,null,null,null,null,null
12827,18585,55008,null,null,24510.96,6924.0,6924.0,64780,5608,88736.0,null,null,0.0,null,null,null
12827,18585,55007,null,null,200.6,340.0,340.0,64782,5608,887360.0,null,null,0.0,null,null,null
12827,18585,55006,null,null,738.208,625.6,625.6,64816,5608,887360.0,null,null,null,null,null,null
12827,18585,55005,null,null,4894.64,829.6,829.6,65344,5698,297360.0,null,null,0.0,null,null,null
12827,18585,55004,null,null,10761.6,0.912,0.912,65347,5700,278480.0,null,null,0.0,null,null,null
12827,18585,55003,null,null,17331.84,293.76,293.76,65394,5700,278480.0,null,null,null,null,null,null
12827,18585,55002,null,null,17405.0,29.5,29.5,65518,5700,278480.0,null,null,null,null,null,null
12827,18585,55001,null,null,65608.0,556.0,556.0,65692,5698,297360.0,null,null,null,null,null,null
12827,18585,55000,null,null,1495.65,12675.0,12675.0,66289,5809,313880.0,null,null,0.0,null,null,null
12827,18585,54999,null,null,44840.0,152.0,152.0,66290,5809,313880.0,null,null,0.0,null,null,null
12827,18585,54998,null,null,6419.2,2720.0,2720.0,66310,5809,313880.0,null,null,null,null,null,null
12827,18585,54997,null,null,3865.68,10.92,10.92,66417,5867,313880.0,null,null,0.0,null,null,null
12827,18575,54952,null,null,40710.0,230.0,175.0,66447,5867,313880.0,null,null,null,null,null,null
12827,18642,55153,null,null,481.44,16.32,16.32,66688,5874,37170.0,null,null,12800.0,null,null,null
12827,18651,55194,null,null,47200.0,800.0,680.0,66744,5874,37170.0,null,null,null,null,null,null
12827,18651,55194,null,null,47200.0,800.0,650.0,67624,6019,23215.36,null,null,0.0,null,null,null
12827,18713,55301,null,null,194700.0,825.0,825.0,67711,5779,94400.0,null,null,0.0,null,null,null
12827,18713,55301,null,null,194700.0,825.0,742.5,67712,5780,7363.2,null,null,0.0,null,null,null
12827,15246,45373,null,null,1911600.0,27.0,27.0,67713,5781,5428.0,null,null,0.0,null,null,null
